"","Date","six-month","two-yr","five-yr","thirty-yr"
"398","06-08-2013",7.34,7.321,7.372,8.776
"399","06-08-2015",7.7,7.894,8.021,8.013
"400","06-08-2016",6.87,7.114,7.425,7.365
"401","06-08-2017",6.29,6.375,6.723,7.035
"402","06-08-2018",6.82,7.626,7.977,8.075
"403","06-09-2010",5.3,5.954,7.411,8.402
"404","06-09-2011",8.2,8.2,8.349,8.638
"405","06-09-2012",8.15,7.894,8.205,8.599
"406","06-09-2016",6.89,7.089,7.409,7.254
"407","06-09-2017",6.29,6.371,6.703,7.133
"408","06-10-2008",7.63,8.1,8.235,8.854
"409","06-10-2009",3.6,5.335,6.608,8.285
"410","06-10-2010",5.25,5.974,7.397,8.37
"411","06-10-2015",7.73,7.889,8.035,7.799
"412","06-10-2016",6.88,7.086,7.407,7.132
"413","06-11-2008",7.68,8.097,8.223,8.347
"414","06-11-2009",3.6,5.306,6.706,8.388
"415","06-11-2012",8.15,7.883,8.205,8.397
"416","06-11-2013",7.44,7.41,7.493,9.149
"417","06-11-2015",7.7,7.878,8.101,7.883
"418","06-11-2018",6.83,7.63,7.992,8.136
"419","06-11-2019",6.03,6.297,6.834,7.168
"420","06-12-2012",8.12,7.842,8.149,8.429
"421","06-12-2013",7.46,7.443,7.492,9.284
"422","06-12-2017",6.32,6.369,6.712,7.444
"423","06-12-2018",6.82,7.635,8.012,7.787
"424","06-12-2019",6.03,6.296,6.796,7.181
"425","07-01-2008",9,9.276,9.04,8.01
"426","07-01-2009",3.55,5.232,6.595,7.16
"427","07-01-2010",5.45,6.194,7.377,8.381
"428","07-01-2011",8.2,8.228,8.389,8.481
"429","07-01-2013",7.49,7.638,7.668,8.107
"430","07-01-2014",8.61,8.349,8.627,9.209
"431","07-01-2015",7.7,7.795,8.031,8.055
"432","07-01-2016",6.78,7.026,7.354,8.076
"433","07-01-2019",6.12,6.283,6.769,7.634
"434","07-02-2008",9,9.328,9.066,7.792
"435","07-02-2012",8.2,7.86,8.187,8.532
"436","07-02-2013",7.47,7.661,7.736,8.107
"437","07-02-2014",8.64,8.319,8.557,9.157
"438","07-02-2017",6.33,6.403,6.741,7.067
"439","07-02-2018",6.86,7.631,8.017,7.85
"440","07-02-2019",6.14,6.255,6.74,7.635
"441","07-03-2008",8.95,9.288,9.158,8.053
"442","07-03-2012",8.25,7.843,8.18,8.606
"443","07-03-2013",7.53,7.685,7.8,8.137
"444","07-03-2014",8.61,8.32,8.566,9.23
"445","07-03-2017",6.33,6.43,6.78,7.427
"446","07-03-2018",6.86,7.644,8.012,7.947
"447","07-03-2019",6.11,6.247,6.735,7.781
"448","07-04-2008",8.85,9.306,9.252,8.613
"449","07-04-2011",8.22,8.234,8.376,8.363
"450","07-04-2014",8.6,8.417,8.564,9.412
"451","07-04-2016",6.79,7.006,7.344,7.822
"452","07-04-2017",6.33,6.418,6.768,7.421
"453","07-05-2010",5.5,6.344,7.438,8.521
"454","07-05-2012",8.2,7.826,8.145,8.998
"455","07-05-2013",7.44,7.675,7.754,7.92
"456","07-05-2017",6.33,6.399,6.753,7.5
"457","07-05-2018",6.9,7.666,8.049,7.914
"458","07-05-2019",6.01,6.167,6.625,7.642
"459","07-06-2010",5.5,6.325,7.438,8.451
"460","07-06-2011",8.3,8.179,8.367,8.627
"461","07-06-2012",8.25,7.803,8.153,8.594
"462","07-06-2015",7.65,7.765,7.936,8.138
"463","07-06-2017",6.32,6.381,6.762,7.185
"464","07-06-2018",6.89,7.668,8.04,8.224
"465","07-07-2008",9,9.259,9.2,9.477
"466","07-07-2009",3.45,5.353,6.45,7.825
"467","07-07-2010",5.65,6.323,7.481,8.345
"468","07-07-2011",8.25,8.212,8.385,8.659
"469","07-07-2012",8.25,7.803,8.153,8.638
"470","07-07-2014",8.59,8.419,8.575,8.744
"471","07-07-2015",7.65,7.737,7.96,8.04
"472","07-07-2016",6.71,6.972,7.241,7.696
"473","07-07-2017",6.34,6.377,6.742,7.128
"474","07-08-2008",9.2,9.364,9.293,9.72
"475","07-08-2009",3.45,5.142,6.371,7.982
"476","07-08-2012",8.25,7.803,8.153,8.628
"477","07-08-2013",7.49,7.744,7.82,8.726
"478","07-08-2014",8.63,8.42,8.6,8.914
"479","07-08-2015",7.59,7.753,7.955,8.022
"480","07-08-2019",6.01,6.131,6.503,6.816
"481","07-09-2009",3.4,5.137,6.396,8.185
"482","07-09-2010",5.6,6.405,7.448,8.394
"483","07-09-2012",8.2,7.785,8.161,8.612
"484","07-09-2013",7.49,7.682,7.843,9.083
"485","07-09-2015",7.57,7.774,7.952,8.013
"486","07-09-2018",6.87,7.7,8.043,8.307
"487","07-10-2008",9.1,9.33,9.387,8.834
"488","07-10-2009",3.38,5.043,6.421,8.296
"489","07-10-2013",7.5,7.677,7.789,9.27
"490","07-10-2014",8.64,8.454,8.653,8.665
"491","07-10-2015",7.58,7.767,7.939,7.808
"492","07-10-2019",5.98,6.204,6.502,7.191
"493","07-11-2008",9.15,9.448,9.443,8.385
"494","07-11-2012",8.19,7.774,8.133,8.399
"495","07-11-2013",7.48,7.695,7.746,9.19
"496","07-11-2014",8.67,8.458,8.647,8.295
"497","07-11-2016",6.72,6.979,7.23,7.265
"498","07-11-2017",6.32,6.363,6.573,7.349
"499","07-11-2019",6,6.189,6.459,7.172
"500","07-12-2010",5.65,6.386,7.384,8.512
"501","07-12-2011",8.25,8.165,8.324,8.887
"502","07-12-2012",8.15,7.749,8.108,8.399
"503","07-12-2016",6.65,6.948,7.197,6.882
"504","07-12-2017",6.32,6.334,6.568,7.44
"505","07-12-2018",6.92,7.606,7.926,7.808
"506","08-01-2008",9.3,9.42,9.33,8.019
"507","08-01-2013",10.29,8.941,8.75,8.105
"508","08-01-2014",8.66,8.498,8.5,9.212
"509","08-01-2016",6.7,6.866,7.034,8.071
"510","08-01-2018",6.92,7.547,7.807,7.624
"511","08-01-2019",5.85,6.05,6.415,7.634
"512","08-02-2010",6.15,7.087,7.7,8.403
"513","08-02-2011",8.5,8.335,8.42,8.57
"514","08-02-2012",8.23,7.934,8.163,8.548
"515","08-02-2013",10.26,9.04,8.8,8.061
"516","08-02-2016",6.69,6.864,7.076,8.273
"517","08-02-2017",6.18,6.288,6.507,7.135
"518","08-02-2018",6.97,7.556,7.817,7.826
"519","08-02-2019",5.8,6.011,6.322,7.671
"520","08-03-2010",6.05,6.989,7.629,8.464
"521","08-03-2011",8.45,8.348,8.399,8.432
"522","08-03-2012",8.25,7.944,8.18,8.606
"523","08-03-2016",6.66,6.869,7.098,8.203
"524","08-03-2017",6.16,6.246,6.441,7.426
"525","08-03-2018",6.94,7.568,7.847,7.934
"526","08-04-2008",9.35,9.283,9.252,8.599
"527","08-04-2009",3.48,5.365,6.77,7.693
"528","08-04-2010",6.35,7.006,7.665,8.459
"529","08-04-2011",8.45,8.317,8.386,8.429
"530","08-04-2012",8.25,7.944,8.18,9.05
"531","08-04-2015",7.53,7.851,7.98,7.858
"532","08-05-2008",9.3,9.153,9.148,8.389
"533","08-05-2009",3.7,5.397,6.877,7.496
